occid,catalogNumber,family,sciname,eventDate,fieldnumber,island,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,locationRemarks,georeferencedBy,georeferenceRemarks
35601,125173,Amastridae,Amastra micans,3/4/1934,,Oahu,Waianae Mountains; Ekahanui; Valley IV; Loc. 4 = W410B-4,21.444752,-158.096756,WGS84,50,,sunray1,Coordinates based on map
58545,177628,Amastridae,Amastra micans,6/24/1936,,Oahu,"Waianae Mountains; North Ekahanui; Tree Planters' Trail, south fork; Loc. 13 = W410 A-6",21.446176,-158.096162,WGS84,75,,sunray1,Coordinates based on map
35614,125186,Amastridae,Amastra micans,3/4/1934,,Oahu,Waianae Mountains; Ekahanui; Valley IV; Loc. 5 = W410A-3,21.446345,-158.095846,WGS84,50,,sunray1,Coordinates based on map
35494,125066,Amastridae,Amastra micans,12/17/1933,,Oahu,Waianae Mountains; Huliwai>Ekahanui; Loc. 2 = W400B-4,21.451445,-158.094496,WGS84,50,,sunray1,Coordinates based on map
35495,125067,Amastridae,Amastra micans,12/17/1933,,Oahu,Waianae Mountains; Huliwai>Ekahanui; Loc. 2 = W400B-4,21.451445,-158.094496,WGS84,50,,sunray1,Coordinates based on map
35496,125068,Amastridae,Amastra micans,12/17/1933,,Oahu,Waianae Mountains; Huliwai>Ekahanui; Loc. 2 = W400B-4,21.451445,-158.094496,WGS84,50,,sunray1,Coordinates based on map
36994,126520,Amastridae,Amastra micans,2/18/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 2 = W400 B-2,21.451557,-158.088841,WGS84,50,,sunray1,Coordinates based on map
36995,126521,Amastridae,Amastra micans,2/18/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 2 = W400 B-2,21.451557,-158.088841,WGS84,50,,sunray1,Coordinates based on map
36728,126277,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 7 = W400 A-10,21.452138,-158.094508,WGS84,75,,sunray1,Coordinates based on map
36729,126278,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 7 = W400 A-10,21.452138,-158.094508,WGS84,75,,sunray1,Coordinates based on map
36679,126228,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-9,21.452248,-158.093676,WGS84,50,,sunray1,Coordinates based on map
36680,126229,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-9,21.452248,-158.093676,WGS84,50,,sunray1,Coordinates based on map
36681,126230,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-9,21.452248,-158.093676,WGS84,50,,sunray1,Coordinates based on map
36793,126342,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,WGS84,50,,sunray1,Coordinates based on map
36794,126343,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,WGS84,50,,sunray1,Coordinates based on map
36795,126344,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,WGS84,50,,sunray1,Coordinates based on map
36796,126345,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 1 = W400 A-9,21.452248,-158.093676,WGS84,50,,sunray1,Coordinates based on map
36583,126132,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-3,21.452376,-158.092172,WGS84,50,,sunray1,Coordinates based on map
36584,126133,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-3,21.452376,-158.092172,WGS84,50,,sunray1,Coordinates based on map
36585,126134,Amastridae,Amastra micans,2/4/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-3,21.452376,-158.092172,WGS84,50,,sunray1,Coordinates based on map
36840,126389,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 2 = W400 A-8,21.452444,-158.09363,WGS84,50,,sunray1,Coordinates based on map
36899,126425,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 5 = W400 A-12,21.452944,-158.094767,WGS84,50,,sunray1,Coordinates based on map
36900,126426,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 5 = W400 A-12,21.452944,-158.094767,WGS84,50,,sunray1,Coordinates based on map
36901,126427,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 5 = W400 A-12,21.452944,-158.094767,WGS84,50,,sunray1,Coordinates based on map
36851,126400,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400 A-7,21.45296,-158.093756,WGS84,50,,sunray1,Coordinates based on map
36935,126461,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-13,21.453457,-158.09453,WGS84,50,,sunray1,Coordinates based on map
36936,126462,Amastridae,Amastra micans,2/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 6 = W400 A-13,21.453457,-158.09453,WGS84,50,,sunray1,Coordinates based on map
37096,126622,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,WGS84,50,,sunray1,Coordinates based on map
37097,126623,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,WGS84,50,,sunray1,Coordinates based on map
37098,126624,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,WGS84,50,,sunray1,Coordinates based on map
37099,126625,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 3 = W400-13,21.453457,-158.09453,WGS84,50,,sunray1,Coordinates based on map
37034,126560,Amastridae,Amastra micans,2/18/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 7 = W400-14,21.454461,-158.092344,WGS84,100,,sunray1,Coordinates based on map
37129,126655,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Huliwai>Waieli; Loc. 4 = W400-11,21.454461,-158.092344,WGS84,100,,sunray1,Coordinates based on map
37054,126580,Amastridae,Amastra micans,2/18/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 8 = W400-9,21.45494,-158.095412,WGS84,50,,sunray1,Coordinates based on map
37039,126565,Amastridae,Amastra micans,2/18/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 7-1/2 = W400-15,21.455233,-158.092749,WGS84,50,,sunray1,Coordinates based on map
37040,126566,Amastridae,Amastra micans,2/18/1934,,Oahu,Waianae Mountains; Huliwai; Loc. 7-1/2 = W400-15,21.455233,-158.092749,WGS84,50,,sunray1,Coordinates based on map
33641,123256,Amastridae,Amastra micans,1/17/1915,,Oahu,"Waianae Mountains; Huliwai Gulch; Loc. = W400-5; ""Valley on left of Popouwela Ridge""; {Correct loc. = W400-11-12a -?}",21.455298,-158.091976,WGS84,165,,sunray1,Coordinates based on map
37162,126688,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Waieli; Loc. 6 = W370 D-3 = W371 D-3,21.4576,-158.096782,WGS84,100,,sunray1,Coordinates based on map
37163,126689,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Waieli; Loc. 6 = W370 D-3 = W371 D-3,21.4576,-158.096782,WGS84,100,,sunray1,Coordinates based on map
37164,126690,Amastridae,Amastra micans,3/11/1934,,Oahu,Waianae Mountains; Waieli; Loc. 6 = W370 D-3 = W371 D-3,21.4576,-158.096782,WGS84,100,,sunray1,Coordinates based on map
29685,119118,Amastridae,Amastra micans frostii,7/30/1933,,Oahu,Waianae Mountains; Popouwela; W370 D-4. 3>4,21.458433,-158.097333,WGS84,50,,sunray1,Coordinates based on map
42371,131810,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela; Loc. W370-6 = W370 A-6,21.465044,-158.100837,WGS84,50,,sunray1,Coordinates based on map
42428,131867,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,WGS84,50,,sunray1,Coordinates based on map
42429,131868,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,WGS84,50,,sunray1,Coordinates based on map
42430,131869,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,WGS84,50,,sunray1,Coordinates based on map
42431,131870,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7 = W370 A-7,21.465432,-158.101328,WGS84,50,,sunray1,Coordinates based on map
42463,131902,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7&8 mixed = W370 A-7&8,21.465552,-158.101628,WGS84,95,,sunray1,Coordinates based on map
42469,131908,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7&8 mixed = W370 A-7&8,21.465552,-158.101628,WGS84,95,,sunray1,Coordinates based on map
42470,131909,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela N; Loc. W370-7&8 mixed = W370 A-7&8,21.465552,-158.101628,WGS84,95,,sunray1,Coordinates based on map
42501,131940,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela; Loc. W370-8 = W370 A-8,21.465649,-158.102023,WGS84,50,,sunray1,Coordinates based on map
42502,131941,Amastridae,Amastra micans,8/16/1932,,Oahu,Waianae Mts.; Popouwela; Loc. W370-8 = W370 A-8,21.465649,-158.102023,WGS84,50,,sunray1,Coordinates based on map
27779,117137,Amastridae,Amastra micans,1/22/1933,,Oahu,Waianae Mountains; Pukaloa; (South Mohiakea Gulch) at junction of Valley 7 & main valley; Loc. W340-5,21.483262,-158.1258,WGS84,50,,sunray1,Coordinates based on map
33583,123198,Amastridae,Amastra micans,1/19/1919,,Oahu,Waianae Mountains; Pukaloa; Loc. W340-(3a-6a),21.483809,-158.125493,WGS84,365,,sunray1,Coordinates based on map
33584,123199,Amastridae,Amastra micans,1/19/1919,,Oahu,Waianae Mountains; Pukaloa; Loc. W340-(3a-6a),21.483809,-158.125493,WGS84,365,,sunray1,Coordinates based on map
43473,132958,Amastridae,Amastra frostii,6/30/1933,,Oahu,Waianae Mountains; Waianae Valley; Hiu Gulch; Loc. = W26-4,21.495406,-158.149263,WGS84,100,,sunray1,Coordinates based on map
43474,132959,Amastridae,Amastra frostii,6/30/1933,,Oahu,Waianae Mountains; Waianae Valley; Hiu Gulch; Loc. = W26-4,21.495406,-158.149263,WGS84,100,,sunray1,Coordinates based on map
43475,132960,Amastridae,Amastra frostii,6/30/1933,,Oahu,Waianae Mountains; Waianae Valley; Hiu Gulch; Loc. = W26-4,21.495406,-158.149263,WGS84,100,,sunray1,Coordinates based on map
48664,165204,Amastridae,Amastra micans,4/26/1936,,Oahu,Waianae Mountains; South Haleauau; Loc. 3 = W320H-3,21.495818,-158.133333,WGS84,50,,sunray1,Coordinates based on map
48639,165179,Amastridae,Amastra micans,3/15/1936,,Oahu,Waianae Mountains; South Haleauau; Loc. 3 = W320H-2,21.496443,-158.132331,WGS84,50,,sunray1,Coordinates based on map
48654,165194,Amastridae,Amastra micans,4/26/1936,,Oahu,Waianae Mountains; South Haleauau; Loc. 1 = W320H-1,21.496737,-158.132886,WGS84,50,,sunray1,Coordinates based on map
33478,123093,Amastridae,Amastra micans,6/13/1920,,Oahu,Waianae Mountains; Haleauau; Loc. W320-4,21.500556,-158.131942,WGS84,50,,sunray1,Coordinates based on map
33486,123101,Amastridae,Amastra micans,1/28/1927,,Oahu,"Waianae Mountains; Haleauau; Loc. W320C-2 - ""South fork, Haleauaua Valley""",21.49758,-158.134065,WGS84,180,,sunray1,Coordinates based on map - unsure if this is supposed to be W320G-2 or W320C-2 so the uncertainty covers both
33503,123118,Amastridae,Amastra micans,12/31/1926,,Oahu,"Waianae Mountains; Haleauau; Loc. W320C-2 - ""South fork, Haleauaua Valley""",21.49758,-158.134065,WGS84,180,,sunray1,Coordinates based on map - unsure if this is supposed to be W320G-2 or W320C-2 so the uncertainty covers both
44237,133699,Amastridae,Amastra micans,12/1/1931,,Oahu,"Waianae Mountains; Ekahanui, South branch high up (central fork); Loc. = W410D-2a",21.440704,-158.094086,WGS84,113,,sunray1,"Coordinates based on map. Couldn't find locality 2a, georeferenced near 2"
33703,123319,Amastridae,Amastra micans,4/7/1915,,Oahu,Waianae Mountains; East Kahanui Gulch; Valley IIF; Loc. W410-6,21.440727,-158.097137,WGS84,100,,sunray1,Coordinates based on map. Georeferenced loc W410D-6a
1383895,289408,Amastridae,Amastra micans,3/29/2012,HLS120329-02,Oahu,"Puu Hapapa, midway between exclosure and HLS120329-01",21.46691667,-158.1026,WGS84,7,"Sieved 2 quadrats, Sunny, clear",,Coordinates recorded at time of collection
1400880,295189,Amastridae,Amastra micans,,AmaMic_OA-ELI-A,Oahu,Waieli Gulch North Branch/ Puu Hapapa,21.4670661,-158.1014023,WGS84,20,,,Coordinates recorded at time of collection
33562,123177,Amastridae,Amastra micans,1/23/1927,,Oahu,"Waianae Mountains; Haleauau = ""Left of main branch""",21.517722,-158.112878,WGS84,3242,,sunray1,"Georeferenced all of Haleauau - unsure what ""left of main branch refers to"""
157377,56795,Amastridae,Amastra frosti,,,Oahu,Waianae,21.491559,-158.052353,WGS84,15902,,sunray1,Georeferenced Waianae Ahupuaa
137665,18310,Amastridae,Amastra frosti unicolor,,,Oahu,Waianae,21.491559,-158.052353,WGS84,15902,,sunray1,Georeferenced Waianae Ahupuaa
156723,55452,Amastridae,Amastra frostii,,,Oahu,Waianae,21.491559,-158.052353,WGS84,15902,,sunray1,Georeferenced Waianae Ahupuaa
17468,105444,Amastridae,Amastra micans,3/27/1930,,Oahu,Waianae,21.491559,-158.052353,WGS84,15902,,sunray1,Georeferenced Waianae Ahupuaa
156758,55595,Amastridae,Amastra micans,,,Oahu,Waianae,21.491559,-158.052353,WGS84,15902,,sunray1,Georeferenced Waianae Ahupuaa
11022,96517,Amastridae,Amastra micans,6/6/1929,,Oahu,"Waianae Mountains; 1/2 way up spur, where ending at base of high cliffs",21.48698,-158.147594,WGS84,16279,,sunray1,Georeferenced whole Waianae range - couldn't determine location
1293443,108090,Amastridae,Amastra micans,,,Oahu,"Second location near west ridge of Popouela, Oahu",21.467422,-158.097543,WGS84,2142,,kuuleialohamia,i believe this one name is spelt wrong and is suppose to be popouwela.
1293444,108091,Amastridae,Amastra micans,,,Oahu,"Second location near west ridge of Popouela, Oahu",21.467422,-158.097543,WGS84,2142,,kuuleialohamia,i believe this one name is spelt wrong and is suppose to be popouwela.
1293445,108092,Amastridae,Amastra micans,,,Oahu,"Second location near west ridge of Popouela, Oahu",21.467422,-158.097543,WGS84,2142,,kuuleialohamia,i believe this one name is spelt wrong and is suppose to be popouwela.
1293450,108098,Amastridae,Amastra micans,,,Oahu,"Popouela, 1st colony of west ridge, Oahu",21.467422,-158.097543,WGS84,2142,,kuuleialohamia,i believe this one name is spelt wrong and is suppose to be popouwela.
15482,102782,Amastridae,Amastra micans,1/31/1914,,Oahu,Waianae Mts.; Pukaloa Valley,21.484991,-158.126586,WGS84,872,,hmehiraki,Locality based on the Welch book of Waianae locations (Pukaloa Gulch XIII.5) and Google Terrain Base Layer as a reference
9869,93391,Amastridae,Amastra micans frostii,12/27/1926,,Oahu,Waianae Mts.; Pukaloa Valley,21.484991,-158.126586,WGS84,872,,hmehiraki,Locality based on the Welch book of Waianae locations (Pukaloa Gulch XIII.5) and Google Terrain Base Layer as a reference
6638,89442,Amastridae,Amastra micans,5/27/1928,,Oahu,Haleauau; East branch; along old fire break trail,21.520406,-158.085034,WGS84,681,,sunray1,"Point from Google Maps, Error around surrounding valley"
6639,89443,Amastridae,Amastra micans,5/27/1928,,Oahu,Haleauau; East branch; along old fire break trail,21.520406,-158.085034,WGS84,681,,sunray1,"Point from Google Maps, Error around surrounding valley"
6640,89444,Amastridae,Amastra micans,5/27/1928,,Oahu,Haleauau; East branch; along old fire break trail,21.520406,-158.085034,WGS84,681,,sunray1,"Point from Google Maps, Error around surrounding valley"
50261,167808,Amastridae,Amastra micans,1/1/1911,,Oahu,Waianae Mountains,21.48698,-158.147594,WGS84,16279,,jan_kealoha (2023-06-07 19:29:30),Update encompasses entire mountain range
